recordNumber,dwc:genus,species,Day,Month,Year,Day.of.the.year
t-23,undesignated,flacourtiaceae rich. ex dc.,4,1,1999,4
f-117,flagellaria,flagellaria guineensis schumach.,13,3,2006,72
f-201,flagellaria,flagellaria guineensis schumach.,10,11,1998,314
7ddf754f-d193-4cc9-b351-99906754a03b,flagellaria guineensis,flagellaria guineensis schumach.,14,4,1999,104
t-194,flagellaria,flagellaria l.,9,11,2005,313
g2-332,flemingia,flemingia grahamiana wight & arn.,14,9,1999,257
7ddf754f-d193-4cc9-b351-99906754a03b,floscopa glomerata,floscopa glomerata (willd. ex schult. & schult. f.) hassk.,20,7,1999,201
f-793,flueggea,flueggea virosa (roxb. ex willd.) royle,4,1,1999,4
g1-380,flueggea,flueggea virosa (roxb. ex willd.) royle,3,2,1999,34
f-1000,fuirena,fuirena rottb.,15,10,2001,288
g1-269,galiniera,galiniera saxifraga (hochst.) bridson,4,11,2005,308
g2-90,galium,galium brenanii ehrend. & verdc.,4,4,1999,94
t-106,galium,galium brenanii ehrend. & verdc.,20,7,1999,201
f-758,galium,galium bussei k. schum. & k. krause,12,7,1999,193
g2-18,galium,galium l.,5,11,2005,309
7ddf754f-d193-4cc9-b351-99906754a03b,galium spurium,galium spurium subsp. africanum,22,10,1996,296
7ddf754f-d193-4cc9-b351-99906754a03b,galium spurium,galium spurium subsp. africanum,24,10,1996,298
f-833,galium,galium stenophyllum baker,1,11,1999,305
7ddf754f-d193-4cc9-b351-99906754a03b,,garcinia kingaensis,30,9,2001,273
g1-126,garcinia,garcinia kingaensis engl.,26,10,2005,299
t-16,garcinia,garcinia kingaensis engl.,6,11,2005,310
7ddf754f-d193-4cc9-b351-99906754a03b,,garcinia l.,22,10,1998,295
g2-538,garcinia,garcinia l.,18,6,2018,169
f-612,garcinia,garcinia l.,18,6,2018,169
g1-22,garcinia,garcinia l.,27,10,2005,300
t-32,garcinia,garcinia l.,27,10,2005,300
7ddf754f-d193-4cc9-b351-99906754a03b,garcinia semseii,garcinia semseii verdc.,28,10,2001,301
g2-419,platostoma,geniosporum rotundifolium briq.,12,7,1999,193
f-123,platostoma,geniosporum rotundifolium briq.,12,7,1999,193
g1-71,geophila,geophila obvallata subsp. ioides (k. schum.) verdc.,11,3,2006,70
f-655,geophila,geophila uniflora hiern,10,3,2006,69
f-812,geophila,geophila uniflora hiern,1,7,1999,182
g1-277,geranium,geranium aculeolatum oliv.,22,7,1999,203
f-924,gerrardanthus,gerrardanthus grandiflorus gilg ex cogn.,27,10,2005,300
f-823,gigasiphon,gigasiphon macrosiphon (harms) brenan,6,6,1902,157
g2-170,gigasiphon,gigasiphon macrosiphon (harms) brenan,6,10,1901,279
f-787,gladiolus,gladiolus rupicola vaupel,24,9,1901,267
g2-449,gleichenia,gleichenia elongata,3,10,2000,277
g2-394,gleichenia,gleichenia elongata,3,10,2000,277
g2-286,gleichenia,gleichenia elongata,3,10,2000,277
g2-337,gleichenia,gleichenia elongata,3,10,2000,277
7ddf754f-d193-4cc9-b351-99906754a03b,gleichenia elongata,gleichenia elongata,3,10,2000,277
g2-478,gleichenia,gleichenia elongata baker,3,10,2000,277
g2-150,glinus,glinus oppositifolius (l.) dc.,4,1,1999,4
046bbc50-cae2-47ff-aa43-729fbf53f7c5,gloriosa superba,gloriosa superba l.,28,6,1999,179
g2-143,gnidia,gnidia apiculata (oliv.) gilg,10,9,1999,253
f-141,gomphia,gomphia sacleuxii (tiegh.) verdc.,12,3,2006,71
7ddf754f-d193-4cc9-b351-99906754a03b,gonatopus boivinii,gonatopus boivinii (decne.) engl.,19,12,1998,353
f-320,gravesia,gravesia naudin,24,10,2005,297
f-986,gravesia,gravesia naudin,8,11,2005,312
g2-72,grewia,grewia forbesii,11,5,1999,131
,,grewia forbesii,1,6,1999,152
,,grewia forbesii,1,6,1999,152
f-140,grewia,grewia forbesii,11,5,1999,131
f-225,grewia,grewia forbesii,1,6,1999,152
f-364,grewia,grewia goetzeana k. schum.,4,2,1998,35
7ddf754f-d193-4cc9-b351-99906754a03b,grewia goetzeana,grewia goetzeana k. schum.,21,12,1998,355
f-703,grewia,grewia l.,13,3,2006,72
f-351,grewia,grewia l.,9,10,1998,282
f-601,grewia,grewia mildbraedii burret,8,6,2018,159
f-208,grewia,grewia mildbraedii burret,1,11,2005,305
g1-91,grewia,grewia monticola sond.,21,1,1999,21
f-811,grewia,grewia platyclada k. schum.,17,1,1999,17
f-261,grewia,grewia platyclada k. schum.,25,1,1999,25
f-481,grewia,grewia platyclada k.schum.,17,1,1999,17
7ddf754f-d193-4cc9-b351-99906754a03b,,grewia sp.,5,4,1999,95
f-1115,guizotia,guizotia scabra (vis.) chiov.,12,7,1999,193
7ddf754f-d193-4cc9-b351-99906754a03b,gymnanthemum exsertiflorum,gymnanthemum cinereum (l.) h.rob.,1,10,1998,274
f-218,gymnosiphon,gymnosiphon usambaricus engl.,8,6,2002,159
7ddf754f-d193-4cc9-b351-99906754a03b,,gymnosporia (wight & arn.) benth. & hook. f.,31,10,2005,304
f-567,gymnosporia,gymnosporia (wight & arn.) benth. & hook. f.,19,6,2018,170
f-172,gymnosporia,gymnosporia schliebenii jordaan,25,9,2001,268
g1-127,gymnosporia,gymnosporia schliebenii jordaan,8,11,1997,312
f-1112,gynura,gynura scandens o. hoffm.,4,11,2005,308
f-1226,gynura,gynura valeriana oliv.,31,10,2005,304
7ddf754f-d193-4cc9-b351-99906754a03b,habenaria praestans,habenaria praestans rendle,31,3,1997,90
,,hagenia abyssinica j.f. gmel.,4,11,2005,308
f-722,hagenia,hagenia abyssinica j.f. gmel.,24,7,1999,205
g2-98,hagenia,hagenia abyssinica j.f. gmel.,5,11,2005,309
g2-176,halleria,halleria lucida l.,18,6,2018,169
f-747,halleria,halleria lucida l.,20,7,1999,201
f-824,halleria,halleria lucida l.,29,10,2005,302
f-296,halleria,halleria lucida l.,4,11,1999,308
t-35,haplocoelopsis,haplocoelopsis africana f.g. davies,29,9,1997,272
f-134,haplopteris,haplopteris guineensis (desv.) e.h. crane,2,4,1999,92
f-896,haplopteris,haplopteris volkensii (hieron.) e.h. crane,5,11,2005,309
g1-49,fagopyrum,harpagocarpus snowdenii hutch. & dandy,13,7,1999,194
f-955,harrisonia,harrisonia abyssinica oliv.,16,1,1999,16
f-891,harrisonia,harrisonia abyssinica oliv.,25,1,1999,25
f-26,harrisonia,harrisonia abyssinica oliv.,5,10,1998,278
t-126,harrisonia,harrisonia abyssinica oliv.,12,11,1998,316
g2-3,harrisonia,harrisonia abyssinica oliv.,21,12,1998,355
7ddf754f-d193-4cc9-b351-99906754a03b,harrisonia abyssinica,harrisonia abyssinica oliv.,19,12,1998,353
g2-6,harungana,harungana madagascariensis lam. ex poir.,4,6,1999,155
f-629,harungana,harungana madagascariensis lam. ex poir.,4,6,1999,155
f-298,harungana,harungana madagascariensis lam. ex poir.,4,6,1999,155
7ddf754f-d193-4cc9-b351-99906754a03b,harungana madagascariensis,harungana madagascariensis lam. ex poir.,14,6,1995,165
f-916,haumaniastrum,haumaniastrum villosum (benth.) a.j. paton,15,7,1999,196
g1-230,haumaniastrum,haumaniastrum villosum (benth.) a.j. paton,10,9,1999,253
,haumaniastrum villosum,haumaniastrum villosum (benth.) a.j. paton,17,7,1999,198
g1-316,hebenstretia,hebenstretia angolensis rolfe,12,11,1999,316
g2-122,heinsenia,heinsenia diervilleoides subsp. diervilleoides,8,6,2018,159
,heinsenia diervilleoides,heinsenia diervilleoides subsp. diervilleoides,1,11,2005,305
f-705,heinsia,heinsia crinita subsp. parviflora (k. schum. & k. krause) verdc.,14,7,1999,195
g2-236,helichrysum,helichrysum abietinum,24,10,1996,298
7ddf754f-d193-4cc9-b351-99906754a03b,helichrysum,helichrysum aureum var. monocephalum,24,10,1996,298
g2-482,helichrysum,helichrysum densiflorum oliv.,30,9,2000,274
f-971,helichrysum,helichrysum foetidum var. foetidum,23,10,1996,297
f-60,helichrysum,helichrysum foetidum var. foetidum,23,10,1996,297
f-165,helichrysum,helichrysum foetidum var. foetidum,24,10,1996,298
f-906,helichrysum,helichrysum forskahlii (j.f. gmel.) hilliard & b.l. burtt,7,11,2005,311
f-447,helichrysum,helichrysum forskahlii var. compactum,24,10,1996,298
7ddf754f-d193-4cc9-b351-99906754a03b,helichrysum forskahlii,helichrysum forskahlii var. forskahlii,23,10,1996,297
7ddf754f-d193-4cc9-b351-99906754a03b,helichrysum forskahlii,helichrysum forskahlii var. forskahlii,4,11,2005,308
g2-388,helichrysum,helichrysum globosum sch.bip.,26,10,2005,299
g1-379,helichrysum,helichrysum kirkii var. kirkii,26,10,1996,300
g2-312,helichrysum,helichrysum kirkii var. kirkii,27,10,1996,301
g2-539,helichrysum,helichrysum mill.,24,5,2019,144
g2-544,helichrysum,helichrysum mill.,24,5,2019,144
g2-392,helichrysum,helichrysum mill.,4,11,2005,308
g1-362,helichrysum,helichrysum nudifolium (l.) less.,26,10,2005,299
f-947,helichrysum,helichrysum nudifolium var. nudifolium,24,10,1996,298
f-493,helichrysum,helichrysum nudifolium var. nudifolium,24,10,1996,298
f-467,helichrysum,helichrysum odoratissimum,24,10,1996,298
g1-220,helichrysum,helichrysum odoratissimum (l.) sweet,2,8,1999,214
7ddf754f-d193-4cc9-b351-99906754a03b,helichrysum odoratissimum,helichrysum odoratissimum (l.) sweet,24,5,2019,144
g2-235,helichrysum,helichrysum quartinianum a. rich.,25,5,2002,145
7ddf754f-d193-4cc9-b351-99906754a03b,helichrysum schimperi,helichrysum schimperi,21,10,1996,295
f-860,helichrysum,helichrysum schimperi (sch. bip. ex a. rich.) moeser,4,11,2005,308
7ddf754f-d193-4cc9-b351-99906754a03b,helichrysum setosum,helichrysum setosum harv.,29,5,2002,149
,helichrysum stenopterum,helichrysum stenopterum,24,10,1996,298
,,helinus e. mey. ex endl.,30,6,1999,181
f-813,helinus,helinus integrifolius (lam.) kuntze,5,9,1999,248
f-396,heliotropium,heliotropium indicum l.,28,1,1999,28
f-88,heliotropium,heliotropium indicum l.,28,1,1999,28
f-544,heliotropium,heliotropium steudneri vatke subsp. bullatum verdc.,18,3,2003,77
g2-375,heracleum,heracleum abyssinicum (boiss.) c.norman,4,10,2000,278
f-228,heteromorpha,heteromorpha trifoliata (h.l. wendl.) eckl. & zeyh.,8,9,1999,251
046bbc50-cae2-47ff-aa43-729fbf53f7c5,,heterotis benth.,10,3,2006,69
7ddf754f-d193-4cc9-b351-99906754a03b,heterotis rotundifolia,heterotis rotundifolia (sm.) jacq.-fél.,8,1,1999,8
7ddf754f-d193-4cc9-b351-99906754a03b,heterotis rotundifolia,heterotis rotundifolia (sm.) jacq.-fél.,28,11,1999,332
f-535,hewittia,hewittia malabarica,8,6,1999,159
f-515,hewittia,hewittia malabarica,20,10,1998,293
f-559,hewittia,hewittia malabarica (l.) suresh,8,6,1999,159
g1-346,hewittia,hewittia malabarica (l.) suresh,20,10,1998,293
7ddf754f-d193-4cc9-b351-99906754a03b,hibiscus fuscus,hibiscus fuscus garcke,2,8,1999,214
g2-182,hibiscus,hibiscus l.,8,6,2018,159
f-107,hibiscus,hibiscus physaloides guill. & perr.,4,6,1999,155
,hibiscus physaloides,hibiscus physaloides guill. & perr.,4,6,1999,155
g1-303,hibiscus,hibiscus rosa-sinensis l.,7,1,1999,7
f-419,hibiscus,hibiscus surattensis,8,6,1999,159
g2-210,hibiscus,hibiscus surattensis,4,6,1999,155
f-500,hibiscus,hibiscus surattensis,4,6,1999,155
f-453,hibiscus,hibiscus surattensis,4,6,1999,155
f-223,hibiscus,hibiscus surattensis,4,6,1999,155
f-716,hibiscus,hibiscus surattensis,8,6,1999,159
7ddf754f-d193-4cc9-b351-99906754a03b,hilsenbergia nemoralis,hilsenbergia nemoralis (gürke) j.s. mill.,6,11,1997,310
g2-491,undesignated,hippocrateaceae juss.,14,9,1999,257
g2-36,hirtella,hirtella zanzibarica subsp. megacarpa (r.a. graham) prance,26,3,1997,85
,holarrhena floribunda,holarrhena floribunda,5,1,1999,5
g1-359,holarrhena,holarrhena floribunda (g.don) t.durand & schinz,5,1,1999,5
g1-373,holarrhena,holarrhena floribunda t. durand & schinz,5,1,1999,5
f-894,holarrhena,holarrhena pubescens wall. ex g. don,28,6,2002,179
f-619,holarrhena,holarrhena pubescens wall. ex g. don,28,6,2002,179
t-136,homalium,homalium gracilipes sleumer,16,10,1902,289
g1-278,homalium,homalium jacq.,2,11,2005,306
g2-160,hoslundia,hoslundia opposita vahl,25,1,1999,25
t-53,hoslundia,hoslundia opposita vahl,10,3,2006,69
g1-110,hoslundia,hoslundia opposita vahl,22,7,1999,203
g2-4,hoslundia,hoslundia opposita vahl,5,10,1998,278
g1-294,hoslundia,hoslundia opposita vahl,28,11,1999,332
f-921,hoslundia,hoslundia opposita vahl,21,12,1998,355
6cfd67d6-4f9b-400b-8549-1933ac27936f,hoslundia opposita,hoslundia opposita vahl,14,1,1999,14
f-498,hubera,huberantha verdcourtii (vollesen) chaowasku,5,4,2005,95
7ddf754f-d193-4cc9-b351-99906754a03b,hubera verdcourtii,huberantha verdcourtii (vollesen) chaowasku,19,11,2004,324
f-871,hugonia,hugonia l.,28,1,1999,28
t-109,hugonia,hugonia l.,29,10,2005,302
f-1024,huperzia,huperzia ophioglossoides (lam.) rothm.,4,11,2005,308
f-1169,phlegmariurus,huperzia phlegmaria (l.) rothm.,24,10,2005,297
g1-14,hydrocotyle,hydrocotyle l.,14,3,2006,73
7ddf754f-d193-4cc9-b351-99906754a03b,hydrocotyle mannii,hydrocotyle mannii var. mannii,2,11,2005,306
g2-393,hydrostachys,hydrostachys angustisecta engl.,12,3,2006,71
g1-11,hydrostachys,hydrostachys angustisecta engl.,6,11,1997,310
t-132,hymenodictyon,hymenodictyon floribundum (hochst. & steud.) b.l. rob.,29,6,2002,180
f-1223,hymenodictyon,hymenodictyon floribundum (hochst. & steud.) b.l. rob.,6,11,2005,310
g2-373,hymenophyllum,hymenophyllum capillare desv.,4,10,2000,278
f-604,hymenophyllum,hymenophyllum digitatum (sw.) fosberg,5,10,2000,279
g2-228,hymenophyllum,hymenophyllum hirsutum (l.) sw.,16,10,2002,289
7ddf754f-d193-4cc9-b351-99906754a03b,hymenophyllum splendidum,hymenophyllum splendidum bosch,24,10,2005,297
g2-275,hymenophyllum,hymenophyllum triangulare,1,10,2001,274
f-120,hymenophyllum,hymenophyllum triangulare baker,1,10,2001,274
f-764,hyparrhenia,hyparrhenia anamesa clayton,22,7,1999,203
t-4,hyparrhenia,hyparrhenia andersson ex e. fourn.,10,6,1999,161
f-287,hyparrhenia,hyparrhenia cymbaria (l.) stapf,24,5,2019,144
7ddf754f-d193-4cc9-b351-99906754a03b,hyparrhenia cymbaria,hyparrhenia cymbaria (l.) stapf,12,7,1999,193
g2-250,hyparrhenia,hyparrhenia finitima (hochst.) andersson ex stapf,14,6,1995,165
f-1224,hyparrhenia,hyparrhenia rufa (nees) stapf,10,6,1999,161
f-761,hypericophyllum,hypericophyllum elatum,28,6,1999,179
g2-126,hypericophyllum,hypericophyllum elatum (o. hoffm.) n. e. br.,14,6,1995,165
,hypericophyllum elatum,hypericophyllum elatum (o. hoffm.) n.e. br.,28,6,1999,179
g2-69,hypericum,hypericum lalandii choisy,24,7,1999,205
6cfd67d6-4f9b-400b-8549-1933ac27936f,hypericum peplidifolium,hypericum peplidifolium,25,10,1996,299
f-267,hypericum,hypericum peplidifolium a. rich.,5,11,2005,309
,hypericum revolutum,hypericum revolutum,24,10,1996,298
g2-165,hypericum,hypericum revolutum vahl,22,7,1999,203
g2-221,hypericum,hypericum scioanum,23,10,1996,297
f-579,hypericum,hypericum scioanum,24,10,1996,298
g2-127,hypoestes,hypoestes aristata (vahl) sol. ex roem. & schult.,19,7,1999,200
f-1157,hypoestes,hypoestes aristata (vahl) sol. ex roem. & schult.,28,11,1999,332
,hypoestes forskaolii,hypoestes forskaolii,3,11,1998,307
g2-280,hypoestes,hypoestes forskaolii (vahl) r. br.,2,8,1999,214
g2-413,hypoestes,hypoestes forskaolii (vahl) r. br.,3,11,1998,307
t-180,hypoestes,hypoestes triflora (forssk.) roem. & schult.,31,10,2005,304
g1-330,hypoxis,hypoxis angustifolia lam.,4,4,1999,94
7ddf754f-d193-4cc9-b351-99906754a03b,hypoxis angustifolia,hypoxis angustifolia lam.,12,2,2000,43
t-164,hypoxis,hypoxis obtusa burch. ex ker gawl.,1,11,1999,305
f-944,ilex,ilex mitis (l.) radlk.,31,10,2005,304
g2-316,ilex,ilex mitis (l.) radlk. var. mitis,31,10,2005,304
f-52,impatiens,impatiens,21,10,1996,295
f-125,impatiens,impatiens  l.,30,11,2006,334
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens,impatiens  l.,30,11,2006,334
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens,impatiens  l.,30,11,2006,334
f-326,impatiens,impatiens austrotanzanica grey-wilson,4,11,2005,308
f-1173,impatiens,impatiens confusa subsp. confusa,4,4,1999,94
f-644,impatiens,impatiens confusa subsp. longicornu,22,9,1996,266
f-280,impatiens,impatiens confusa subsp. longicornu,25,10,1996,299
g1-265,impatiens,impatiens confusa subsp. longicornu grey-wilson,25,10,1996,299
f-221,impatiens,impatiens eryaleia subsp. eryaleia,4,4,1999,94
t-28,impatiens,impatiens keilii subsp. pubescens grey-wilson,1,1,1971,1
f-1095,impatiens,impatiens kentrodonta gilg,29,9,2000,273
g2-153,impatiens,impatiens kentrodonta gilg,29,11,1999,333
g1-339,impatiens,impatiens kentrodonta gilg,30,11,2006,334
f-92,impatiens,impatiens kentrodonta gilg,30,11,2006,334
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens kentrodonta,impatiens kentrodonta gilg,30,11,2006,334
f-745,impatiens,impatiens l.,10,2,2000,41
g2-32,impatiens,impatiens l.,27,10,2005,300
g1-283,impatiens,impatiens l.,27,10,2005,300
g1-69,impatiens,impatiens l.,31,10,2005,304
f-888,impatiens,impatiens l.,4,11,2005,308
g2-486,impatiens,impatiens l.,5,11,2005,309
f-68,impatiens,impatiens msisimwanensis,22,10,1996,296
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens,impatiens msisimwanensis,22,10,1996,296
g2-541,impatiens,impatiens msisimwanensis s.b. janssens & e.b. knox,22,10,1996,296
f-48,impatiens,impatiens nana,21,10,1996,295
g2-487,impatiens,impatiens nana engl.,22,9,2001,265
g1-109,impatiens,impatiens nana engl. & warb.,22,9,2001,265
f-532,impatiens,impatiens nana engl. & warb.,21,10,1996,295
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens nana,impatiens nana engl. & warb.,10,7,1998,191
t-166,impatiens,impatiens paludicola grey-wilson,10,7,1998,191
g1-324,impatiens,impatiens pseudozombensis grey-wilson,16,7,1999,197
g1-46,impatiens,impatiens raphidothrix warb.,27,11,2006,331
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens raphidothrix,impatiens raphidothrix warb.,27,11,2006,331
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens rubromaculata,impatiens rubromaculata subsp. imagiensis,22,10,1996,296
f-1063,impatiens,impatiens uzungwaensis grey-wilson & frim.-møll.,8,10,1996,282
f-1073,impatiens,impatiens uzungwaensis grey-wilson & frim.-møll.,8,12,1997,342
f-1198,impatiens,impatiens volkensii subsp. macrosepala grey-wilson & frim.-møll.,8,1,1997,8
f-666,impatiens,impatiens volkensii subsp. macrosepala grey-wilson & frim.-møll.,29,7,1999,210
f-1054,impatiens,impatiens volkensii subsp. macrosepala grey-wilson & frim.-møll.,8,12,1997,342
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens volkensii,impatiens volkensii subsp. macrosepala grey-wilson & frim.-møll.,8,10,1996,282
f-25,impatiens,impatiens walleriana,21,9,1996,265
7ddf754f-d193-4cc9-b351-99906754a03b,impatiens walleriana,impatiens walleriana,9,11,1998,313
f-876,impatiens,impatiens walleriana hook. f.,9,11,1998,313
f-656,impatiens,impatiens walleriana hook. f.,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,,indet. sp.,28,9,2001,271
f-492,indigofera,indigofera arrecta hochst. ex a. rich.,28,11,1999,332
g2-279,indigofera,indigofera emarginelloides j. b. gillet,14,6,1995,165
7ddf754f-d193-4cc9-b351-99906754a03b,indigofera hirsuta,indigofera hirsuta,7,6,1999,158
f-837,indigofera,indigofera hirsuta l.,7,6,1999,158
f-978,indigofera,indigofera ormocarpoides baker,5,2,1999,36
t-56,indigofera,indigofera ormocarpoides baker,14,4,1999,104
g2-112,indigofera,indigofera ormocarpoides baker,14,6,1995,165
f-359,indigofera,indigofera paniculata subsp. gazensis (baker f.) j.b. gillett,3,4,1999,93
t-54,indigofera,indigofera rhynchocarpa var. rhynchocarpa,8,9,1999,251
9ca92552-f23a-41a8-a140-01abaa31c931,indigofera rhynchocarpa,indigofera rhynchocarpa var. rhynchocarpa,25,5,1902,145
7ddf754f-d193-4cc9-b351-99906754a03b,indigofera rhynchocarpa,indigofera rhynchocarpa var. rhynchocarpa,2,6,1902,153
f-163,indigofera,indigofera spicata forssk.,2,1,1999,2
f-1108,indigofera,indigofera spicata forssk.,6,1,1999,6
g1-268,ipomoea,ipomoea eriocarpa r. br.,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,ipomoea carnea fistulosa,ipomoea fistulosa,21,12,1998,355
7ddf754f-d193-4cc9-b351-99906754a03b,ipomoea carnea fistulosa,ipomoea fistulosa mart. ex choisy,21,12,1998,355
f-37,ipomoea,ipomoea l.,8,10,1998,281
,ipomoea,ipomoea l.,12,6,2018,163
g1-286,ipomoea,ipomoea prismatosyphon var. prismatosyphon,25,5,2002,145
f-784,ipomoea,ipomoea wightii var. obtusisepala verdc.,23,9,2001,266
g2-468,isoberlinia,isoberlinia scheffleri,29,10,2005,302
t-89,isoberlinia,isoberlinia scheffleri,4,1,1999,4
f-1103,isoberlinia,isoberlinia scheffleri,29,10,2005,302
g2-423,isoberlinia,isoberlinia scheffleri,30,10,2005,303
7ddf754f-d193-4cc9-b351-99906754a03b,isoberlinia scheffieri,isoberlinia scheffleri,7,11,1997,311
f-121,isoberlinia,isoberlinia scheffleri,4,1,1999,4
g2-93,isoglossa,isoglossa floribunda subsp. salviiflora (mildbr.) i. darbysh.,4,9,1999,247
g2-220,isoglossa,isoglossa lactea subsp. lactea,8,9,1984,252
g2-195,isoglossa,isoglossa lactea subsp. lactea,23,9,2001,266
f-597,isoglossa,isoglossa lactea subsp. lactea,29,9,2001,272
g1-198,isoglossa,isoglossa lactea subsp. lactea,31,10,2005,304
7ddf754f-d193-4cc9-b351-99906754a03b,isoglossa laxa,isoglossa laxa oliv.,3,11,2005,307
7ddf754f-d193-4cc9-b351-99906754a03b,isoglossa floribunda salviiflora,isoglossa salviiflora (mildbr.) brummitt,4,9,1999,247
