dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
https://data.biodiversitydata.nl/naturalis/specimen/wag0116415,"burgt, xm van der  575",microberlinia,microberlinia bisulcata,14,1,2000,14
https://data.biodiversitydata.nl/naturalis/specimen/wag.1628677,"burgt, xm van der  575",microberlinia,microberlinia bisulcata,14,1,2000,14
https://data.biodiversitydata.nl/naturalis/specimen/wag.1628678,"burgt, xm van der  575",microberlinia,microberlinia bisulcata,14,1,2000,14
https://data.biodiversitydata.nl/naturalis/specimen/wag.1628679,"burgt, xm van der  579",microberlinia,microberlinia bisulcata,20,1,2000,20
https://data.biodiversitydata.nl/naturalis/specimen/wag.1628680,"burgt, xm van der  579",microberlinia,microberlinia bisulcata,20,1,2000,20
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00527607,,microberlinia,microberlinia bisulcata,20,1,2000,20
https://data.biodiversitydata.nl/naturalis/specimen/wag0064081,"burgt, xm van der  616",microberlinia,microberlinia bisulcata,17,6,2000,169
https://data.biodiversitydata.nl/naturalis/specimen/wag.1628681,"burgt, xm van der",microberlinia,microberlinia bisulcata,16,3,2004,76
https://data.biodiversitydata.nl/naturalis/specimen/wag0204374,"burgt, xm van der",microberlinia,microberlinia bisulcata,25,8,2004,238
https://data.biodiversitydata.nl/naturalis/specimen/wag.1628675,"burgt, xm van der",microberlinia,microberlinia bisulcata,16,9,2004,260
urn:catalog:mo:tropicos:101048731,burgt 691,microberlinia,microberlinia bisulcata,25,8,2004,238
http://n2t.net/ark:/65665/368020887-0fa6-4859-a303-95d7f83814a7,575,microberlinia,microberlinia bisulcata,1,8,2000,214
http://n2t.net/ark:/65665/32ce9c35f-4d0f-42dc-8ebb-aee592808c78,579,microberlinia,microberlinia bisulcata,1,8,2000,214
https://data.biodiversitydata.nl/naturalis/specimen/wag0064082,"burgt, xm van der  617",microberlinia,microberlinia bisulcata,10,6,2000,162
urn:catalog:mo:tropicos:245686,thomas 2671,microcalamus,microcalamus barbinodis,12,10,1983,285
http://n2t.net/ark:/65665/3712ba793-4171-46dc-acfe-accf8f456e12,2671,microcalamus,microcalamus barbinodis,12,10,1983,285
urn:catalog:mo:tropicos:245695,thomas 4142,microcalamus,microcalamus barbinodis,12,5,1984,133
http://specimens.kew.org/herbarium/k000182442,2671,microcalamus,microcalamus barbinodis,10,12,1983,344
http://n2t.net/ark:/65665/38f39b160-7024-41b2-9e06-54163d660516,5852,microcos,microcos coriacea,3,10,1986,276
http://specimens.kew.org/herbarium/k000181288,7590,microdesmis,microdesmis,3,4,1988,94
https://data.biodiversitydata.nl/naturalis/specimen/wag.1145178,"thomas, dw",microdesmis,microdesmis,3,4,1988,94
https://data.biodiversitydata.nl/naturalis/specimen/wag.1145401,"gereau, re",microdesmis,microdesmis haumaniana,21,11,1994,325
urn:catalog:mo:tropicos:883520,gereau 5552,microdesmis,microdesmis haumaniana,21,11,1994,325
