dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
84a66642-86f7-4a71-9ef9-7e78a3c2db85,acronychia,acronychia,26,11,2017,330
http://specimens.kew.org/herbarium/k000895899,acronychia,acronychia pedunculata,8,7,1827,189
7dc32672-2395-4a77-b6a3-0531bb92575d,acronychia,acronychia pedunculata,4,7,2017,185
http://specimens.kew.org/herbarium/k001109035,acrostichum,acrostichum alcicorne,1,1,1826,1
http://specimens.kew.org/herbarium/k001109037,acrostichum,acrostichum alcicorne,1,1,1826,1
2c1dcebd-6f23-4c0b-8fc6-5f7904932794,acrostichum,acrostichum aureum,6,5,2016,127
http://specimens.kew.org/herbarium/k001109054,acrostichum,acrostichum viviparum,1,1,1827,1
dcaa3aeb-4375-4811-b656-c6f2b6e01c4a,acrotrema,acrotrema costatum,6,7,2016,188
https://data.biodiversitydata.nl/naturalis/specimen/l.2379195,actinidia,actinidia,3,1,1938,3
bcb439af-031a-4fee-9d95-c64da1d4b5b7,actinidia,actinidia,11,10,2015,284
http://n2t.net/ark:/65665/3f66649d4-a833-43fa-8e05-c8a7c2ac637e,actinidia,actinidia callosa,20,4,1938,110
https://data.biodiversitydata.nl/naturalis/specimen/l.2379278,actinidia,actinidia callosa,4,1,1938,4
https://data.biodiversitydata.nl/naturalis/specimen/l.2379281,actinidia,actinidia callosa,4,1,1939,4
urn:catalog:cas:bot-bc:122639,actinidia,actinidia glaucocallosa,20,5,2006,140
urn:catalog:cas:bot-bc:122638,actinidia,actinidia glaucocallosa,20,5,2006,140
urn:catalog:cas:bot-bc:122644,actinidia,actinidia glaucocallosa,20,5,2006,140
cac38fcc-2559-40af-b9b3-ecd51f226ae9,actinidia,actinidia glaucocallosa,20,5,2006,140
urn:catalog:cas:bot-bc:315139,actinidia,actinidia kolomikta,18,5,2005,138
urn:catalog:cas:bot-bc:122647,actinidia,actinidia pilosula,17,5,2005,137
urn:catalog:cas:bot-bc:44201,actinidia,actinidia venosa,24,4,2004,115
urn:catalog:cas:bot-bc:11694,actinidia,actinidia venosa,19,5,2006,139
urn:catalog:cas:bot-bc:11695,actinidia,actinidia venosa,19,5,2006,139
54e060f3-5262-4bf0-98de-ded38358d427,actinidia,actinidia venosa,19,5,2006,139
7d4ae348-2811-4ece-b4ef-dec575005c3f,actinidia,actinidia venosa,19,5,2006,139
urn:catalog:cas:bot-bc:122658,actinidia,actinidia venosa,23,5,2006,143
08481cbd-4e40-4fb4-8350-6eae2735eb89,actinidia,actinidia venosa,23,5,2006,143
urn:catalog:cas:bot-bc:122671,actinidia,actinidia venosa,8,6,2005,159
eced1e07-01de-4ed2-93f2-f1b479e07e70,actinodaphne,actinodaphne,25,3,1949,84
https://data.biodiversitydata.nl/naturalis/specimen/l.1784177,actinodaphne,actinodaphne,4,12,1938,338
6b2ff43c-5131-43cc-ab7b-6ee2c9eaf875,actinodaphne,actinodaphne,4,7,1939,185
61cad7d6-3b07-403e-b9a2-47d924c009bf,actinodaphne,actinodaphne,5,1,1949,5
912c16d2-dfbd-4641-9371-6b9340bca983,actinodaphne,actinodaphne angusifolia,15,11,1924,320
https://data.biodiversitydata.nl/naturalis/specimen/l.1779351,actinodaphne,actinodaphne angusifolia,1,1,1912,1
f4dfa039-b5ec-4522-9511-86c79108a9bc,actinodaphne,actinodaphne concolor,10,2,1827,41
https://data.biodiversitydata.nl/naturalis/specimen/l.1794372,actinodaphne,actinodaphne quinqueflora,2,1,1938,2
https://data.biodiversitydata.nl/naturalis/specimen/l.3908345,actinodaphne,actinodaphne sesquipedalis sesquipedalis,3,10,1998,276
https://data.biodiversitydata.nl/naturalis/specimen/l.3908346,actinodaphne,actinodaphne sesquipedalis sesquipedalis,3,10,1998,276
http://n2t.net/ark:/65665/379862338-8f14-4654-9a9d-acabff5b2048,actinodaphne,actinodaphne sikkimensis,22,1,1898,22
5f1c7948-4d06-484f-9d8b-2f9f4dfbe50d,actinostachys,actinostachys digitata,26,3,2015,85
f2391f0f-2d9e-43f7-b617-d4412ec67c7c,actinostachys,actinostachys digitata,8,8,1961,220
40f500ff-6663-4b93-bc06-c640da0eba19,actinostachys,actinostachys digitata,8,9,1961,251
407f97d1-8c64-4d99-9187-a2d413f331e9,acystopteris,acystopteris tenuisecta,26,10,2016,300
20880c63-fa0c-41cd-a1f9-3b46ff9e4e4f,adenanthera,adenanthera microsperma,6,7,1929,187
7ee2106a-ba09-41c6-87b9-9430a0f77963,adenanthera,adenanthera pavonina,19,9,1890,262
http://specimens.kew.org/herbarium/k001120438,adenanthera,adenanthera pavonina,1,1,1827,1
http://specimens.kew.org/herbarium/k001120435,adenanthera,adenanthera pavonina,1,1,1827,1
http://specimens.kew.org/herbarium/k001129372,adenanthera,adenanthera pavonina,1,1,1827,1
https://data.biodiversitydata.nl/naturalis/specimen/l.1929831,adenanthera,adenanthera pavonina,1,1,1938,1
ec468106-192e-49c8-a684-6513403b3bcd,adenia,adenia forssk.,17,11,2017,321
https://data.biodiversitydata.nl/naturalis/specimen/l.3981335,adenia,adenia pinnatisecta,16,8,2017,228
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200201496,adenosma,adenosma glutinosum,18,10,1998,291
https://data.biodiversitydata.nl/naturalis/specimen/l.2874884,adenosma,adenosma glutinosum,18,10,1998,291
https://data.biodiversitydata.nl/naturalis/specimen/l.2874810,adenosma,adenosma indiana (lour.) merr.,16,10,1998,289
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200201506,adenosma,adenosma indiana (lour.) merr.,16,10,1998,289
d096506a-19ad-48fd-9ec7-9c324cd64a0b,adenosma,adenosma indianum,19,7,1835,200
b550116d-70ac-4f99-a3ff-8d3e5a78dea9,adenosma,adenosma indianum,18,10,1875,291
urn:catalog:cas:bot-bc:649592,adenosma,adenosma indianum,16,10,1998,289
d1d8eaee-7f5c-4304-a6d9-bbdfd410ce66,adenosma,adenosma indianum,11,5,1957,131
http://specimens.kew.org/herbarium/k001117425,adenosma,adenosma macrophyllum,1,1,1826,1
7a9f71ac-30ce-4c11-a1f3-fcf9afc651e3,adenosma,adenosma microcephalum,19,10,1875,292
urn:catalog:cas:bot-bc:509074,adenostemma,adenostemma lavenia,10,12,1998,344
0f535e91-d24f-40ef-a5cb-ae70b2795953,adenostemma,adenostemma lavenia,17,10,2015,290
9e3ec2af-9681-4ea6-89e2-95970b74262c,adenostemma,adenostemma lavenia,31,10,2016,305
2c8fe7d1-e061-4b16-aeb0-64fc69379d15,adenostemma,adenostemma lavenia,18,11,2017,322
s:vascularplants:s15-38866,adenostemma,adenostemma lavenia,8,10,1934,281
https://data.biodiversitydata.nl/naturalis/specimen/l.3750222,adenostemma,adenostemma lavenia,16,10,1998,289
https://data.biodiversitydata.nl/naturalis/specimen/l.3766121,adenostemma,adenostemma lavenia,20,10,1998,293
https://data.biodiversitydata.nl/naturalis/specimen/l.3766122,adenostemma,adenostemma lavenia,20,10,1998,293
urn:catalog:cas:bot-bc:645401,adenostemma,adenostemma lavenia,16,10,1998,289
urn:catalog:o:v:2003667,adhatoda,adhatoda vasica nees,17,12,1958,351
urn:catalog:o:v:2003666,adhatoda,adhatoda vasica nees,21,12,1957,355
http://n2t.net/ark:/65665/3ca887a2c-5a32-449a-add0-bd082a5d74e6,adiantum,adiantum caudatum,9,2,1922,40
s:vascularplants:s-p-8125,adiantum,adiantum ciliatum,22,11,1912,327
ed1deaec-52fb-43e1-a621-efa1901d2de3,adiantum,adiantum edgeworthii,22,12,1957,356
http://n2t.net/ark:/65665/37e68d557-2b6e-4050-8678-a083bebfbe18,adiantum,adiantum edgeworthii,22,12,1957,356
http://specimens.kew.org/herbarium/k001090056,adiantum,adiantum parishii,1,1,1874,1
d7a1d8c7-d59c-4107-894e-8507bc459e7a,adiantum,adiantum pedatum,9,9,1924,253
urn:catalog:mo:tropicos:101126117,adiantum,adiantum pedatum,7,6,1925,158
http://n2t.net/ark:/65665/3eb77a2a7-21f9-4f6d-81cb-17eb3ba9ad7f,adiantum,adiantum philippense,21,7,1958,202
http://n2t.net/ark:/65665/399f20cb8-9c5c-41ce-bfd7-e463929fc4fa,adiantum,adiantum philippense,24,7,1945,205
urn:catalog:mo:tropicos:101129350,adiantum,adiantum philippense,17,8,2006,229
