(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
LCP058T2E5P1S1,aphelandra,aphelandra pepe-parodii,aphelandra pepe-parodii,3,8,1983,215
LCP06T2E5P2S1,morisonia,morisonia oblongifolia,morisonia oblongifolia,17,8,1974,229
LCP226T2E5P1S4,allophylus,allophylus peruvianus,allophylus peruvianus,16,10,1991,289
LCP253T2E5P1S5,maxillaria,,maxillaria equitans,24,7,1984,206
LCP016T2E5P2S1,prunus,,prunus vana,24,7,1984,206
LCP220T2E5P1S4,theobroma,theobroma cacao,theobroma cacao,12,7,1998,193
LCP270T2E5P1S5,pouteria,,pouteria sp.,19,8,1976,232
LCP232T2E5P1S4,calycophysum,calycophysum pedunculatum,calycophysum pedunculatum,9,9,1986,252
LCP170T2E5P1S3,begonia,,begonia maynensis,13,9,1986,256
LCP243T2E5P1S4,lundia,,lundia spruceana,17,10,1991,290
LCP014T2E5P1S1,acanthocladus,acanthocladus scleroxylon,acanthocladus scleroxylon (ducke) b. eriksen & b. ståhl,2,7,1984,184
LCP04T2E5P2S1,adenocalymma,adenocalymma impressum,adenocalymma impressum,17,10,1991,290
LCP105T2E5P1S2,virola,virola calophylla,virola calophylla,1,1,1989,1
LCP167T2E5P1S3,himatanthus,himatanthus tarapotensis,himatanthus tarapotensis (k. schum. ex markgr.) plumel,19,8,1986,231
LCP021T2E5P1S1,platymiscium,platymiscium ulei,platymiscium ulei,,,,
LCP247T2E5P1S4,campyloneurum,campyloneurum fuscosquamatum,campyloneurum fuscosquamatum lellinger,10,9,1986,253
LCP157T2E5P1S2,aspidosperma,aspidosperma parvifolium,aspidosperma tambopatense,18,8,1989,230
LCP257T2E5P1S5,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri van der werff,7,6,1984,159
LCP142T2E5P1S2,diplazium,diplazium cristatum,diplazium cristatum (desr.) alston,10,10,1998,283
LCP057T2E5P1S1,alchornea,alchornea glandulosa,alchornea glandulosa,31,8,1984,244
LCP277T2E5P1S5,alchorneopsis,alchorneopsis floribunda,alchorneopsis floribunda,10,8,1984,223
LCP237T2E5P1S4,mollinedia,mollinedia ovata,mollinedia ovata ruiz & pav.,7,12,1984,342
LCP223T2E5P1S4,eleusine,eleusine indica,eleusine indica,17,8,1974,229
LCP082T2E5P2S3,rhipsalis,rhipsalis baccifera,rhipsalis baccifera,26,8,1984,239
LCP09T2E5P1S1,epidendrum,epidendrum,epidendrum,14,9,1986,257
LCP111T2E5P1S2,eugenia,eugenia coffeifolia,eugenia coffeifolia,2,7,1984,184
LCP173T2E5P1S3,iryanthera,iryanthera juruensis,iryanthera juruensis,10,8,1983,222
LCP154T2E5P1S2,theobroma,theobroma cacao,theobroma cacao,4,8,1998,216
LCP269T2E5P1S5,lasiacis,lasiacis ligulata,lasiacis ligulata,,,,
LCP030T2E4P3S2,ficus,,ficus pertusa,13,6,1977,164
LCP091T2E5P1S2,couratari,couratari macrosperma,couratari macrosperma a.c.sm.,5,11,1986,309
LCP169T2E5P1S3,psiguria,psiguria triphylla,psiguria triphylla,18,10,1979,291
LCP156T2E5P1S2,fevillea,fevillea cordifolia,fevillea cordifolia,22,10,1979,295
LCP035T2E4P3S3,forsteronia,forsteronia myriantha,forsteronia myriantha,26,8,1984,239
LCP03T2E5P2S1,maxillaria,,maxillaria equitans,24,7,1984,206
