dwc:occurrenceID,dwc:catalogNumber,dwc:datasetID,dwc:genus,species,Day,Month,Year,Day of the year
https://data.biodiversitydata.nl/naturalis/specimen/l.3492670,l.3492670,7ddf754f-d193-4cc9-b351-99906754a03b,amphineuron,amphineuron terminans,20,7,1984,202
s:vascularplants:s14-36402,s14-36402,7ddf754f-d193-4cc9-b351-99906754a03b,anaphalis,anaphalis brevifolia,20,10,1982,293
s:vascularplants:s07-11759,s07-11759,7ddf754f-d193-4cc9-b351-99906754a03b,anaphalis,anaphalis travancorica,22,9,1982,265
s:vascularplants:s07-11758,s07-11758,7ddf754f-d193-4cc9-b351-99906754a03b,anaphalis,anaphalis travancorica,21,10,1982,294
http://specimens.kew.org/herbarium/k000545949,,7ddf754f-d193-4cc9-b351-99906754a03b,andrographis,andrographis neesiana,22,9,1982,265
s:vascularplants:s09-4397,s09-4397,7ddf754f-d193-4cc9-b351-99906754a03b,andrographis,andrographis neesiana,22,9,1982,265
s:vascularplants:s09-4398,s09-4398,7ddf754f-d193-4cc9-b351-99906754a03b,andrographis,andrographis neesiana,27,10,1982,300
s:vascularplants:s13-7500,s13-7500,7ddf754f-d193-4cc9-b351-99906754a03b,andropogon,andropogon,27,9,1982,270
s:vascularplants:s10-40958,s10-40958,7ddf754f-d193-4cc9-b351-99906754a03b,anisochilus,anisochilus carnosus,2,3,1980,62
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200756031,l  0756031,7ddf754f-d193-4cc9-b351-99906754a03b,anoectangium,anoectangium aestivum,21,3,2007,80
s:s-bryophytes:b150718,b150718,d9a4eedb-e985-4456-ad46-3df8472e00e8,anoectangium,anoectangium andinum,8,4,1905,98
s:vascularplants:s05-9682,s05-9682,7ddf754f-d193-4cc9-b351-99906754a03b,anthoxanthum,anthoxanthum borii,23,9,1982,266
https://data.biodiversitydata.nl/naturalis/specimen/l.3506473,l.3506473,7ddf754f-d193-4cc9-b351-99906754a03b,antrophyum,antrophyum plantagineum,13,12,1986,347
s:vascularplants:s10-28647,s10-28647,7ddf754f-d193-4cc9-b351-99906754a03b,aponogeton,aponogeton natans,19,4,1978,109
https://data.biodiversitydata.nl/naturalis/specimen/u.1008557,u.1008557,7ddf754f-d193-4cc9-b351-99906754a03b,arachniodes,arachniodes tripinnata,20,12,1977,354
http://n2t.net/ark:/65665/32f2c3fbf-29e2-4bce-b320-fb3be364950b,2903084,7ddf754f-d193-4cc9-b351-99906754a03b,arachniodes,arachniodes tripinnata,5,7,1977,186
https://data.biodiversitydata.nl/naturalis/specimen/l.3494158,l.3494158,7ddf754f-d193-4cc9-b351-99906754a03b,arachniodes,arachniodes tripinnata,12,4,1977,102
https://data.biodiversitydata.nl/naturalis/specimen/u.1008558,u.1008558,7ddf754f-d193-4cc9-b351-99906754a03b,arachniodes,arachniodes tripinnata,12,5,1977,132
http://specimens.kew.org/herbarium/k000499495,,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema jethompsonii,7,10,1992,281
http://specimens.kew.org/herbarium/k000499496,,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema jethompsonii,7,10,1992,281
urn:catalog:mo:tropicos:100400335,100400335,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,28,10,1996,302
http://n2t.net/ark:/65665/37857cd81-4b52-4422-a200-351e9c9fea8c,1607952,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,31,10,1933,304
http://n2t.net/ark:/65665/330fce787-5c0a-4383-ab9d-e8a220f2c3f2,2891601,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,14,11,1975,318
http://n2t.net/ark:/65665/33337abd0-1e05-42a3-b9f9-ec322fbb100f,2891602,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,16,2,1979,47
http://n2t.net/ark:/65665/3919ba682-eee9-4442-b893-989427e6cc22,2945881,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,28,4,1976,119
http://n2t.net/ark:/65665/35125b650-0eb7-4a5c-b5d2-01223c219f72,2438096,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,19,5,1949,139
http://n2t.net/ark:/65665/31093981a-64d4-4e60-a905-43681d422db1,2438091,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,25,5,1954,145
http://n2t.net/ark:/65665/31018c267-b0f7-4b01-844e-0ea91e1274bf,2945880,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,16,6,1976,168
http://n2t.net/ark:/65665/3927b39ec-6088-4339-b204-4c94cff7f6c9,2910127,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,16,6,1978,167
http://n2t.net/ark:/65665/3240d6a19-87e2-4485-85ed-3267c4dae14a,2438088,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,20,6,1953,171
urn:catalog:mo:tropicos:1840700,1840700,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,24,6,1963,175
http://n2t.net/ark:/65665/393818fa1-4b39-41c9-b543-1280763ccfcf,2945876,7ddf754f-d193-4cc9-b351-99906754a03b,arisaema,arisaema tortuosum,26,6,1978,177
